name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Erythrobacter	1041	G	140	2	142	0.00074
Sediminicoccus	1706033	G	62	0	62	0.00032
Roseomonas	125216	G	42	-1	41	0.00021
Aquidulcibacter	2052989	G	51	0	51	0.00027
Brevundimonas	41275	G	29	1	30	0.00016
Rickettsia	780	G	27	-10	17	0.00009
Sulfuricurvum	286130	G	15	0	15	0.00008
Kaiparowitsia	2303524	G	1077	0	1077	0.00560
Oculatella	1240886	G	33	2	35	0.00018
Tildeniella	2303519	G	22	-1	21	0.00011
Prochlorococcus	1218	G	976	0	976	0.00508
Altericista	2855430	G	80	-6	74	0.00038
Aegeococcus	2799720	G	30	-21	9	0.00005
Metis	2799742	G	23	0	23	0.00012
Chamaesiphon	217161	G	85	0	85	0.00044
Komvophoron	358711	G	64	0	64	0.00033
Haloleptolyngbya	1169405	G	50	0	50	0.00026
Tapinothrix	890417	G	19	0	19	0.00010
Leptochromothrix	2831759	G	354	0	354	0.00184
Sodalinema	2219504	G	277	0	277	0.00144
Lyngbya	28073	G	33	0	33	0.00017
Okeania	1458928	G	19	0	19	0.00010
Starria	241429	G	40	0	40	0.00021
Pycnacronema	2530217	G	10	0	10	0.00005
Alborzia	2847113	G	27	0	27	0.00014
Neochroococcus	2816233	G	26	2	28	0.00015
Cyanomargarita	1982356	G	182	-182	0	0.00000
Iphinoe	988814	G	153	0	153	0.00080
Aliinostoc	2035978	G	52	0	52	0.00027
Purpureonostoc	2816323	G	12	0	12	0.00006
Calothrix	1186	G	20	1	21	0.00011
Mastigocoleus	996924	G	16	0	16	0.00008
Spirulina	1154	G	43	0	43	0.00022
Selenomonas	970	G	396	-19	377	0.00196
Exiguobacterium	33986	G	149	6	155	0.00081
Anoxybacillus	150247	G	25	0	25	0.00013
Bacillus	1386	G	13	1	14	0.00007
Paenibacillus	44249	G	11	-2	9	0.00005
Paucilactobacillus	2767890	G	13	0	13	0.00007
Fructilactobacillus	2767881	G	11	1	12	0.00006
Enterococcus	1350	G	13	0	13	0.00007
Senegalia	1924097	G	32	0	32	0.00017
Tepidibacter	214904	G	10	0	10	0.00005
Erysipelothrix	1647	G	15	-13	2	0.00001
Deinococcus	1298	G	161	-41	120	0.00062
Meiothermus	65551	G	12	0	12	0.00006
Microbacterium	33882	G	19	0	19	0.00010
Flavobacterium	237	G	261	0	261	0.00136
Chryseobacterium	59732	G	43	0	43	0.00022
Arcicella	217140	G	129	-3	126	0.00066
Arcticibacterium	2173039	G	24	0	24	0.00012
Runella	105	G	21	-3	18	0.00009
Leadbetterella	319458	G	20	0	20	0.00010
Lacihabitans	1649462	G	15	0	15	0.00008
Ferruginibacter	1004303	G	45	-1	44	0.00023
Haliscomenobacter	2349	G	25	0	25	0.00013
Phaeodactylibacter	1564515	G	17	-8	9	0.00005
Lewinella	70994	G	11	-1	10	0.00005
Sphingobacterium	28453	G	10	0	10	0.00005
Pirellula	123	G	19	0	19	0.00010
Gemmata	113	G	14	0	14	0.00007
Fimbriiglobus	1914234	G	13	0	13	0.00007
Rubinisphaera	1649490	G	11	-3	8	0.00004
Luteolibacter	518753	G	16	-1	15	0.00008
