name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bosea	85413	G	26	0	26	0.00029
Limimonas	1434015	G	13	0	13	0.00014
Devosia	46913	G	16	-2	14	0.00015
Blastochloris	59282	G	10	0	10	0.00011
Sediminicoccus	1706033	G	128	0	128	0.00141
Roseomonas	125216	G	32	-1	31	0.00034
Varunaivibrio	1866954	G	12	0	12	0.00013
Aquidulcibacter	2052989	G	77	0	77	0.00085
Brevundimonas	41275	G	10	-1	9	0.00010
Rickettsia	780	G	54	-41	13	0.00014
Lyticum	204450	G	12	0	12	0.00013
Caedimonas	2100210	G	26	3	29	0.00032
Haliangium	162027	G	23	-5	18	0.00020
Sandaracinus	1055688	G	11	0	11	0.00012
Syntrophus	43773	G	12	-7	5	0.00006
Smithella	182623	G	10	0	10	0.00011
Geobacter	28231	G	15	-2	13	0.00014
Sulfuricurvum	286130	G	84	0	84	0.00093
Arcobacter	28196	G	12	0	12	0.00013
Kaiparowitsia	2303524	G	4909	0	4909	0.05410
Tildeniella	2303519	G	175	-46	129	0.00142
Oculatella	1240886	G	156	-13	143	0.00158
Drouetiella	2303513	G	39	0	39	0.00043
Trichotorquatus	2056240	G	36	-33	3	0.00003
Timaviella	2055830	G	14	1	15	0.00017
Prochlorococcus	1218	G	3950	0	3950	0.04354
Chamaesiphon	217161	G	1036	0	1036	0.01142
Altericista	2855430	G	293	-35	258	0.00284
Aegeococcus	2799720	G	140	-78	62	0.00068
Metis	2799742	G	114	0	114	0.00126
Cymatolege	2799718	G	86	0	86	0.00095
Rhodoploca	2799717	G	22	0	22	0.00024
Haloleptolyngbya	1169405	G	369	0	369	0.00407
Nodosilinea	1120752	G	13	-2	11	0.00012
Komvophoron	358711	G	205	0	205	0.00226
Tapinothrix	890417	G	65	0	65	0.00072
Myxacorys	2056239	G	32	-1	31	0.00034
Leptodesmis	2664261	G	11	0	11	0.00012
Sodalinema	2219504	G	1029	-4	1025	0.01130
Planktothrix	54304	G	44	1	45	0.00050
Arthrospira	35823	G	24	0	24	0.00026
Leptochromothrix	2831759	G	756	0	756	0.00833
Lyngbya	28073	G	107	0	107	0.00118
